id,name,state,grade,score,size_tier,national_percentile,snapshot_date,days_until_expiry,expiry_status,mdb_id,validator_version,feed_url,top_fix,scorecard_url
tompkins-consolidated-area-transit-inc,Tompkins Consolidated Area Transit Inc,New York,C,75.0,medium,68,2026-07-04,42,current,535,8.0.1,https://s3.amazonaws.com/tcat-gtfs/tcat-ny-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/tompkins-consolidated-area-transit-inc/
torrance-transit,Torrance Transit,California,F,54.3,medium,43,2026-07-04,-903,stale,34,8.0.1,https://transit.torranceca.gov/home/showdocument?id=16673,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/torrance-transit/
town-of-estes-park,Town of Estes Park,Colorado,C,72.8,small,65,2026-07-04,324,current,177,8.0.1,https://data.trilliumtransit.com/gtfs/estestransit-co-us/estestransit-co-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/town-of-estes-park/
town-of-mountain-village,Town of Mountain Village,Colorado,F,51.1,small,37,2026-07-04,-1189,stale,594,8.0.1,https://data.trilliumtransit.com/gtfs/mountainvillage-co-us/mountainvillage-co-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/town-of-mountain-village/
town-of-mountain-village-594,Town of Mountain Village,Colorado,F,51.1,small,37,2026-07-04,-1189,stale,594,8.0.1,http://data.trilliumtransit.com/gtfs/mountainvillage-co-us/mountainvillage-co-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/town-of-mountain-village-594/
town-of-telluride,Town of Telluride,Colorado,F,43.9,small,19,2026-07-04,-1191,stale,603,8.0.1,https://data.trilliumtransit.com/gtfs/telluride-co-us/telluride-co-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/town-of-telluride/
town-of-telluride-2050,Flex v2 included,Colorado,B,81.6,small,85,2026-07-04,107,current,2050,8.0.1,https://data.trilliumtransit.com/gtfs/sanmiguelcounty-co-us/sanmiguelcounty-co-us--flex-v2.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/town-of-telluride-2050/
town-of-telluride-603,Town of Telluride,Colorado,F,43.9,small,19,2026-07-04,-1191,stale,603,8.0.1,http://data.trilliumtransit.com/gtfs/telluride-co-us/telluride-co-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/town-of-telluride-603/
towson-loop,Towson Loop,Maryland,D,62.7,small,53,2026-07-04,30,expiring_soon,1784,8.0.1,https://passio3.com/towson/passioTransit/gtfs/google_transit.zip,"Check with your AVL vendor that every vehicle assignment flows into TripUpdates, including school-day and tripper runs.",https://gtfsscorecard.org/agency/towson-loop/
transfort,Flex,Colorado,B,80.2,small,81,2026-07-04,89,current,2293,8.0.1,https://data.trilliumtransit.com/gtfs/transfort-co-us/transfort-co-us--flex-v2.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/transfort/
