id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry
concord-kannapolis-area-transit-rider-transit,Concord Kannapolis Area Transit (Rider Transit),2026-07-06,F,42.9,66.0,0.0,44.9,,-1283
concord-kannapolis-area-transit-rider-transit-2244,Concord Kannapolis Area Transit (Rider Transit),2026-07-06,D,65.4,99.5,50.0,29.9,,30
concord-kannapolis-area-transit-rider-transit-372,Concord Kannapolis Area Transit (Rider Transit),2026-07-06,F,42.9,66.0,0.0,44.9,,-1283
connect-transit,Connect Transit,2026-07-06,F,35.0,48.0,0.0,44.9,,-1466
connect-transit-1238,Connect Transit,2026-07-06,F,37.4,69.5,0.0,22.5,,-2500
connect-transit-2267,Connect Transit,2026-07-06,D,64.4,67.0,85.0,44.3,,26841
connecticut-transit,Connecticut Transit,2026-07-06,F,53.6,39.2,85.0,37.5,67.4,187
connecticut-transit-2840,Hartford Line - Rail,2026-07-06,B,83.8,92.0,100.0,59.4,,116
connecticut-transit-597,Hartford Line - Rail,2026-07-06,F,58.3,78.0,0.0,77.5,,-1137
continuum,Flex,2026-07-06,F,22.5,30.0,0.0,30.0,,-1282
coos-county-area-transit-ccat,Coos County Area Transit (CCAT),2026-07-06,C,72.3,73.5,100.0,48.5,,118
copper-mountain-transit,Copper Mountain Transit,2026-07-06,F,56.9,87.2,0.0,60.0,,-193
coralville-transit,Coralville Transit,2026-07-06,B,82.8,100.0,100.0,45.0,,177
coralville-transit-196,Coralville Transit,2026-07-06,B,81.1,96.0,100.0,45.0,,177
corning-erwin-area-transit-system-ceats,Corning Erwin Area Transit System (CEATS),2026-07-06,F,40.9,77.5,0.0,22.5,,-187
corona-cruiser,Corona Cruiser,2026-07-06,B,84.0,92.0,100.0,60.1,,237
corona-cruiser-104,Corona Cruiser,2026-07-06,B,84.0,92.0,100.0,60.1,,237
corpus-christi-regional-transportation-authority,Corpus Christi Regional Transportation Authority,2026-07-06,F,40.0,65.5,0.0,36.4,,-412
corridorrides,CorridorRides,2026-07-06,B,86.7,100.0,100.0,57.5,,148
corridorrides-316,CorridorRides,2026-07-06,B,86.7,100.0,100.0,57.5,,148
cortland-county-public-transportation,Cortland County Public Transportation,2026-07-06,F,32.8,59.0,0.0,22.2,,-463
